customer_id,product_id,purchase_date,category,price,ratings,page_views,time_spent
1,101,2023-01-01,Electronics,500,4.5,25,120
1,105,2023-01-05,Electronics,800,4.8,25,120
5,101,2023-01-05,Electronics,500,4.5,22,110
2,102,2023-01-02,Clothing,50,3.8,20,90
3,103,2023-01-03,Home & Kitchen,200,4.2,30,150
4,104,2023-01-04,Beauty,30,4.0,15,80
5,101,2023-06-14,Electronics,500,3.0,66,83
2,105,2023-10-17,Electronics,500,5.0,88,131
3,105,2023-04-06,Electronics,800,5.0,93,87
3,103,2023-10-11,Beauty,30,4.0,89,88
2,101,2023-12-08,Beauty,30,4.0,81,140
1,102,2023-05-19,Electronics,500,4.0,77,63
4,103,2023-11-04,Electronics,500,3.0,84,88
5,104,2023-05-22,Beauty,30,3.0,74,139
1,101,2023-10-28,Electronics,800,4.0,66,114
1,102,2023-09-18,Beauty,30,3.0,24,66
1,102,2023-05-15,Clothing,50,3.0,76,73
1,104,2023-11-30,Clothing,50,3.0,72,37
3,105,2023-04-29,Home & Kitchen,200,1.0,93,96
1,101,2023-06-21,Electronics,500,1.0,28,60
5,105,2023-09-05,Beauty,30,2.0,90,147
2,101,2023-12-29,Electronics,500,3.0,16,121
1,101,2023-06-29,Clothing,50,3.0,78,67
1,104,2023-03-08,Electronics,800,2.0,57,48
1,104,2023-07-30,Electronics,800,3.0,52,82
2,102,2023-06-15,Beauty,30,4.0,63,91
1,102,2023-03-18,Clothing,50,3.0,72,46
4,103,2023-02-23,Electronics,800,4.0,57,72
3,104,2023-06-07,Electronics,800,2.0,58,31
3,101,2023-03-06,Electronics,500,4.0,52,68
1,105,2023-01-08,Electronics,500,1.0,84,110
1,105,2023-09-08,Electronics,500,2.0,12,128
4,103,2023-01-04,Home & Kitchen,200,2.0,53,27
5,104,2023-01-11,Electronics,800,3.0,91,109
2,104,2023-12-18,Electronics,500,2.0,57,76
5,101,2023-08-04,Electronics,500,1.0,81,79
1,104,2023-04-04,Home & Kitchen,200,1.0,69,46
5,102,2023-12-29,Electronics,800,3.0,35,108
1,105,2023-02-07,Electronics,800,4.0,81,139
5,105,2023-04-28,Clothing,50,2.0,97,38
2,105,2023-10-15,Electronics,500,2.0,56,69
2,105,2023-07-23,Electronics,800,4.0,11,72
5,102,2023-10-28,Beauty,30,5.0,37,142
4,105,2023-05-17,Electronics,800,1.0,11,86
